Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 12.70      0.31     0.31 110959112     0.00     0.00  restore
  9.63      0.55     0.23 112515609     0.00     0.00  cdr
  9.02      0.77     0.22       58     0.00     0.03  hairy_eval
  8.81      0.98     0.21 110959112     0.00     0.00  save
  5.53      1.11     0.14 95057266     0.00     0.00  car
  3.69      1.21     0.09 51817258     0.00     0.00  assert_throw
  3.48      1.29     0.09 38341904     0.00     0.00  mk_pair_data
  2.87      1.36     0.07 38341747     0.00     0.00  cons
  2.87      1.43     0.07  8910049     0.00     0.00  _reverse_
  2.46      1.49     0.06 82072651     0.00     0.00  mloc
  2.46      1.55     0.06 11602963     0.00     0.00  reverse
  2.46      1.61     0.06 11602655     0.00     0.00  no_operands
  2.05      1.66     0.05 11609400     0.00     0.00  _find
  2.05      1.71     0.05                             get_stack
  1.64      1.75     0.04 20512649     0.00     0.00  last_operand
  1.64      1.79     0.04 11612799     0.00     0.00  _symbol_hash_
  1.64      1.83     0.04 11611402     0.00     0.00  vector_ref
  1.43      1.86     0.04 11613396     0.00     0.00  get_index
  1.23      1.90     0.03 20512649     0.00     0.00  first_operand
  1.23      1.93     0.03 11602651     0.00     0.00  operator
  1.23      1.96     0.03  4870941     0.00     0.00  _it_bin_pred
  1.23      1.99     0.03  2692567     0.00     0.00  _sub_two_numbers
  1.02      2.01     0.03 11602628     0.00     0.00  global_env_lookup_var
  1.02      2.04     0.03        4     0.01     0.01  caar
  0.82      2.06     0.02 11613397     0.00     0.00  is_vector
  0.82      2.08     0.02 11609400     0.00     0.00  hash_table_ref
  0.82      2.10     0.02 11602654     0.00     0.00  is_symbol_eq
  0.82      2.12     0.02 11602628     0.00     0.00  lookup_unbound_var
  0.82      2.13     0.02 10256118     0.00     0.00  is_atleast_one
  0.82      2.15     0.02  4870921     0.00     0.00  is_number_equal
  0.82      2.17     0.02  2692726     0.00     0.00  first_exp
  0.82      2.19     0.02                             _init
  0.61      2.21     0.01  8078166     0.00     0.00  length
  0.61      2.23     0.01  4870941     0.00     0.00  it_bin_pred
  0.61      2.24     0.01       53     0.00     0.00  stack_init
  0.41      2.25     0.01 37501468     0.00     0.00  nil
  0.41      2.26     0.01 20512236     0.00     0.00  is_number
  0.41      2.27     0.01 11614104     0.00     0.00  is_real
  0.41      2.28     0.01 11614010     0.00     0.00  as_integer
  0.41      2.29     0.01  8909994     0.00     0.00  rest_operands
  0.41      2.30     0.01  8077959     0.00     0.00  is_compound_procedure
  0.41      2.31     0.01  4871003     0.00     0.00  is_true
  0.41      2.32     0.01  4870909     0.00     0.00  _equal_procedure_
  0.41      2.33     0.01  2692653     0.00     0.00  procedure_environment
  0.41      2.34     0.01  2692567     0.00     0.00  _minus_procedure_
  0.41      2.35     0.01  2692536     0.00     0.00  add_number
  0.41      2.36     0.01  1346330     0.00     0.00  mk_number
  0.41      2.37     0.01        1     0.01     0.01  init_symbol_table
