Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 12.87      1.97     1.97       58     0.03     0.22  hairy_eval
 11.43      3.72     1.75 760498976     0.00     0.00  save
 10.29      5.30     1.58 760498976     0.00     0.00  restore
  6.73      6.33     1.03 519808999     0.00     0.00  car
  6.01      7.25     0.92 710018448     0.00     0.00  cdr
  4.64      7.96     0.71 477160054     0.00     0.00  assert_throw
  2.32      8.31     0.36 79523378     0.00     0.00  reverse
  2.22      8.65     0.34 140600067     0.00     0.00  cons
  2.12      8.98     0.33 318114044     0.00     0.00  mloc
  2.09      9.30     0.32 79533811     0.00     0.00  get_index
  2.06      9.61     0.32 79533214     0.00     0.00  _symbol_hash_
  1.96      9.91     0.30 140591387     0.00     0.00  set_cdr
  1.89     10.20     0.29 140600224     0.00     0.00  mk_pair_data
  1.83     10.48     0.28 79529815     0.00     0.00  _find
  1.70     10.74     0.26 79531817     0.00     0.00  vector_ref
  1.50     10.97     0.23 79523043     0.00     0.00  lookup_unbound_var
  1.47     11.20     0.23 140591087     0.00     0.00  last_operand
  1.31     11.40     0.20 232867458     0.00     0.00  nil
  1.24     11.59     0.19 79529815     0.00     0.00  hash_table_ref
  1.18     11.77     0.18 140591087     0.00     0.00  first_operand
  1.08     11.93     0.17 122135684     0.00     0.00  is_number
  1.05     12.09     0.16 55365342     0.00     0.00  length
  0.88     12.23     0.14 18454959     0.00     0.00  _sub_two_numbers
  0.88     12.36     0.14 79523043     0.00     0.00  global_env_lookup_var
  0.88     12.50     0.14 61068025     0.00     0.00  apply_primitive_procedure
  0.78     12.62     0.12 51840589     0.00     0.00  get_var
  0.78     12.74     0.12 79534488     0.00     0.00  is_real
  0.75     12.85     0.12       53     0.00     0.00  stack_init
  0.72     12.96     0.11 79523066     0.00     0.00  operands
  0.69     13.07     0.11 61067842     0.00     0.00  is_atleast_one
  0.65     13.17     0.10 51840589     0.00     0.00  lookup_variable_value
  0.65     13.27     0.10 33385376     0.00     0.00  it_bin_pred
  0.65     13.37     0.10 33385356     0.00     0.00  is_number_equal
  0.62     13.46     0.10 79523070     0.00     0.00  no_operands
  0.59     13.55     0.09 79534425     0.00     0.00  as_integer
  0.59     13.64     0.09 79523069     0.00     0.00  is_symbol_eq
  0.52     13.72     0.08 51840589     0.00     0.00  get_var_from_frame
  0.52     13.80     0.08 18455045     0.00     0.00  check_procedure_arg_len
  0.52     13.88     0.08  9227497     0.00     0.00  fold_right
  0.49     13.96     0.08 18454959     0.00     0.00  _sub_numbers
  0.46     14.03     0.07 61068017     0.00     0.00  rest_operands
  0.46     14.10     0.07 18455045     0.00     0.00  procedure_environment
  0.42     14.16     0.07  9227464     0.00     0.00  add_number
  0.39     14.22     0.06 79533812     0.00     0.00  is_vector
  0.39     14.28     0.06 18455054     0.00     0.00  mk_env
  0.36     14.34     0.06 27683215     0.00     0.00  mk_number_from_int
  0.33     14.39     0.05                             format_error
  0.33     14.44     0.05 33385344     0.00     0.00  _equal_procedure_
  0.33     14.49     0.05 18455045     0.00     0.00  param_len
  0.33     14.54     0.05 18454959     0.00     0.00  _minus_procedure_
  0.29     14.58     0.05 18455118     0.00     0.00  is_last_exp
  0.29     14.63     0.05 18454959     0.00     0.00  sub_numbers
  0.26     14.67     0.04 79523066     0.00     0.00  operator
  0.26     14.71     0.04 55365135     0.00     0.00  is_compound_procedure
  0.26     14.75     0.04 33385423     0.00     0.00  is_true
  0.26     14.79     0.04 18455053     0.00     0.00  extend_environment
  0.26     14.83     0.04     4778     0.00     0.00  mk_symbol
  0.23     14.86     0.04       21     0.00     0.00  nstrcpy
  0.20     14.89     0.03 18455045     0.00     0.00  is_var_arg
  0.20     14.92     0.03 18455045     0.00     0.00  procedure_parameters
  0.20     14.95     0.03 18454928     0.00     0.00  type_tag_to_string
  0.20     14.98     0.03  9227464     0.00     0.00  _plus_procedure_
  0.20     15.01     0.03                             _is_inexact_procedure_
  0.20     15.04     0.03                             vector_length
  0.16     15.07     0.03       62     0.00     0.00  as_real
  0.13     15.09     0.02 33385441     0.00     0.00  mk_boolean
  0.13     15.11     0.02 18455045     0.00     0.00  procedure_body
  0.13     15.13     0.02        8     0.00     0.00  _remove
  0.13     15.15     0.02        4     0.01     0.01  is_list
  0.13     15.17     0.02        2     0.01     0.01  string_to_symbol
  0.13     15.19     0.02        2     0.01     0.01  symbol_to_string
  0.10     15.20     0.02 18455118     0.00     0.00  first_exp
  0.10     15.22     0.02        8     0.00     0.00  append
  0.10     15.23     0.02        2     0.01     0.01  mk_real
  0.07     15.24     0.01       37     0.00     0.00  sexp_quotation_value
  0.07     15.25     0.01        6     0.00     0.00  data_eval
  0.07     15.26     0.01        4     0.00     0.00  mk_hash_table
